RECIPE_OUTPUT_420409,vegetable oil,('vegetable oil', 'tuna vegetable oil', 'miniature almond joy bar', 'light vegetable oil', 'canned pinto bean', 'boneless skinless chicken breast', 'chinese spice powder', 'turkey ham', 'smoked turkey sausage', 'daikon radish')
RECIPE_OUTPUT_202628,dried thyme,('dried thyme', 'dried marjoram', 'guinness stout', 'dried basil', 'dried rosemary', 'dried sage', 'dried oregano', 'dried garlic', 'fryer chicken', 'bay leaf')
RECIPE_OUTPUT_253433,garlic clove,('garlic clove', 'ground cumin', 'fresh basil', 'tahini', 'olive oil', 'stewing beef', 'eggplant', 'flat leaf italian parsley', 'marinated artichoke heart', 'cilantro leaves stem')
RECIPE_OUTPUT_472433,cooked bacon,('cooked bacon', 'chipotle chili sauce', 'white cheese', 'hidden valley ranch dip', 'ranch salad dressing', 'garlic salt', 'v8 vegetable juice', 'cooking onion', 'unbleached bread flour', 'soft cream cheese')
RECIPE_OUTPUT_71886,fresh parsley,('fresh parsley', 'italian stewed tomato', 'cabernet sauvignon wine', 'tiny new potato', 'old english cheese', 'halibut', 'cheese', 'diced onion', 'halibut steak', 'strawberry cream cheese')
RECIPE_OUTPUT_260335,juice,('juice', 'cherry juice', 'apricot juice', 'peach juice', 'maraschino juice', 'low calorie cran raspberry juice', 'pear halves natural juice', 'sliced peaches juice', 'reserved juice', 'reduced calorie cranberry juice cocktail')
RECIPE_OUTPUT_384829,black pepper,('black pepper', 'mccormick black pepper', 'sea salt & fresh black pepper', 'old cheddar cheese', 'elephant garlic', 'coarse black pepper', 'cube steak', 'garlic', 'dried basil', 'chicken breast')
RECIPE_OUTPUT_459408,wheat flour,('wheat flour', 'wheat bran', 'wheat flour tortilla', 'flax seed meal', 'unbleached white flour', 'white flour', 'oat bran', 'applesauce', 'dry active yeast', 'yeast')
RECIPE_OUTPUT_383147,mango,('mango', 'mango liqueur', 'sweet mango', 'mango yogurt', 'mango nectar', 'mango puree', 'mango juice', 'frozen mango chunk', 'honey lime dressing', 'kiwi')
RECIPE_OUTPUT_38216,margarine,('margarine', 'firm margarine', 'soft margarine', 'regular margarine', 'earth balance margarine', 'non hydrogenated margarine', 'low fat margarine', 'becel margarine', 'non hydrogenated vegan margarine', 'gluten free margarine')
RECIPE_OUTPUT_63329,lime wedge,('lime wedge', 'chayote', 'preserved turnip', 'chinese chive', 'banana flower', 'fajita size flour tortilla', 'limeade', 'pomegranate concentrate', 'guajillo chilie', 'multigrain bread')
RECIPE_OUTPUT_285357,swiss cheese,('swiss cheese', 'smoked swiss cheese', 'marbled cheddar swiss cheese', 'laughing cow light swiss cheese', 'baby swiss cheese', 'processed swiss cheese', 'marbled rye bread', 'corned beef', 'sandwich bun', 'head iceberg lettuce')
RECIPE_OUTPUT_375606,lime slice,('lime slice', 'frozen lemonade concentrate', 'lime', '7 soda', 'sugar syrup', 'vanilla vodka', 'lime segment', 'gold tequila', 'goldschlager', 'white rum')
RECIPE_OUTPUT_457589,rosemary,('rosemary', 'ground rosemary', 'simply potatoes rosemary & garlic red potato wedge', 'dried rosemary leave', 'turkey thigh', 'thyme', 'oregano', 'marjoram', 'diced tomatoes basil oregano', 'shark steak')
RECIPE_OUTPUT_223874,shortening,('shortening', 'solid shortening', 'sifted flour', 'vegetable shortening', 'crisco shortening', 'baking soda', 'rhubarb', 'flour', 'baking cocoa', 'sour milk')
RECIPE_OUTPUT_274330,beer,('beer', 'ginger beer', 'dark mexican beer', 'bratwurst', 'wheat beer', 'stout beer', 'pilsner beer', 'root beer concentrate', 'light beer', 'dark beer')
RECIPE_OUTPUT_346572,pecan,('pecan', 'candied pecan', 'dry roasted pecan', 'chocolate dipped pecan', 'planters pecan', 'butter pecan ice cream', 'pecan nut', 'cheesecake mix', 'coconut pecan frosting', 'red hot candy')
RECIPE_OUTPUT_406546,butter,('butter', 'butter flavor extract', 'instant butter pecan pudding mix', 'pam butter cooking spray', 'reese peanut butter cup', 'butter substitute', 'butter cookie', 'butter bud', 'butter flavored cracker crumb', 'peanut butter cup')
